rank,tier,username,name,category,subcategory,follower_count,career_leverage_score,introduction_power,collector_access,gallery_access,architecture_design_access,reasoning,recommended_action
1,A,sarahmyerscoughgallery,Sarah Myerscough Gallery,Gallery,Contemporary Craft Gallery,,95,HIGH,HIGH,VERY_HIGH,VERY_HIGH,MEDIUM,"TARGET GALLERY. Leading London contemporary craft/collectible design gallery specializing in wood and sculptural design. Participates in PAD London, Design Miami, TEFAF, Masterpiece. Relocating to larger Mayfair space Oct 2025 with new Crafted Art Foundation. DIRECT ALIGNMENT with wood artist goals.","TIER A IMMEDIATE: Research current represented artists. Engage authentically with exhibition posts. Attend physical exhibitions if possible. Build relationship over 3-6 months before direct outreach about representation."
2,A,tefaf,TEFAF Maastricht,Art Fair,Major International Fair,,90,VERY_HIGH,VERY_HIGH,VERY_HIGH,VERY_HIGH,HIGH,"World's premier art fair for fine art, antiques, and design. 276 dealers from 24 countries. 20th century design section. Sarah Myerscough Gallery exhibits here. Major collector/curator/dealer attendance.","TIER A: Monitor exhibitors and programming. Engage with educational content. Follow galleries that exhibit. Build expertise on TEFAF aesthetic to align work positioning."
3,A,houseandgardenuk,House & Garden UK,Publication,Interior Design Magazine,,85,HIGH,MEDIUM,MEDIUM,MEDIUM,VERY_HIGH,"Condé Nast publication. Major UK interior design influence. Features craft, collectible design, architecture. Press coverage here = validation + collector visibility.","TIER A: Study past craft/design features. Identify staff/editors. Engage thoughtfully with posts about wood, craft, sculptural design. Potential PR target once gallery represented."
4,A,ingridpilkingtonwright,Ingrid Pilkington-Wright,Gallery Staff,Head of Sales,,75,VERY_HIGH,VERY_HIGH,HIGH,VERY_HIGH,MEDIUM,"Head of Sales at THE NEW CRAFTMAKER (Pimlico Road, Belgravia). Former Harvey Jones Kitchens. Interior design background. CRITICAL BRIDGE NODE - can introduce to gallery network, collectors, designers.","TIER A IMMEDIATE: Reconnect professionally. Mention shared interest in contemporary craft. Ask about The New Craftmaker program. Request studio visit or coffee. She has direct gallery/collector access."
5,A,nicolehollis,Nicole Hollis,Interior Designer,Luxury Residential Designer,,88,VERY_HIGH,HIGH,VERY_HIGH,MEDIUM,VERY_HIGH,"AD Top 100, Elle Décor A-List designer. San Francisco-based (NICOLEHOLLIS Inc). Works with UHNW clients, top galleries. Known for integrating collectible design and craft. PRIME COMMISSION SOURCE.","TIER A: Engage with her posts about craft, materials, sculptural objects. Study her projects for wood integration opportunities. Potential to spec work into luxury residential projects."
6,B,cluster__crafts,Cluster Crafts,Fair/Platform,Emerging Craft Fair,,70,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,"London-based craft fair platform. Celebrated by Guardian, Forbes, Condé Nast. Features emerging artists across ceramics, glass, furniture. Less established than Sarah Myerscough but good visibility platform.","TIER B: Monitor application cycles for exhibitors. Build portfolio aligned with their aesthetic. Apply when ready. Good stepping stone for early-career visibility."
7,B,futureicons_,Future Icons,Platform,Craft Representation,,72,HIGH,MEDIUM,MEDIUM,HIGH,LOW,"Curated by Louisa Pacifico. Represents design/craft businesses. Future Icons Selects at London Craft Week (May 2026) - 40+ makers, 95% UK-based. Platform for emerging/established makers.","TIER B: Research Louisa Pacifico. Study represented makers. Engage with Future Icons Selects content. Potential application/representation opportunity."
8,B,futureiconsselects,Future Icons Selects,Exhibition,Craft Exhibition,,68,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,"Annual London Craft Week exhibition. 83 Rivington Street, Shoreditch. Ceramics, textiles, metalwork, collectible design. Direct to collector sales opportunity.","TIER B: Attend 2026 exhibition (May 14-21). Network with makers and collectors. Study selection criteria for future application."
9,B,fullgrownfutureuk,Full Grown,Artist/Designer,Innovative Furniture Maker,,65,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,"Gavin Munro's tree-grown furniture company. Highly innovative, conceptual approach to wood. 4-8 year growth process. In permanent collection National Museum of Scotland. PEER/COLLABORATOR potential.","TIER B: Study their process and positioning. Engage as fellow wood innovator. Potential collaborative opportunities or shared exhibition contexts."
10,B,heatherpittsceramics,Heather Waugh Pitts,Artist,Ceramic Artist,,55,LOW,LOW,LOW,LOW,LOW,"Nova Scotia-based ceramicist. Self-taught, works in porcelain. Interior design background. Nature-inspired. NOT UK-based (Canada), limited strategic value for UK gallery ecosystem.","TIER C: Light engagement only. Geographic mismatch limits strategic value."
